text,condition,record_type,Care_Profile
Pet ate spoiled food and now has diarrhea.,Digestive Issues,Owner Observation,pet ate spoiled food and now has diarrhea digestive issues owner observation
My dog's back legs seem to cross over when he walks.,Mobility Problems,Owner Observation,my dogs back legs seem to cross over when he walks mobility problems owner observation
Characteristic gait abnormality and muscle atrophy consistent with infraspinatus contracture.,Mobility Problems,Clinical Notes,characteristic gait abnormality and muscle atrophy consistent with infraspinatus contracture mobility problems clinical notes
Confirm owner compliance with preventative medications.,Parasites,Clinical Notes,confirm owner compliance with preventative medications parasites clinical notes
Mild enterocolitis; probiotics and fluids advised.,Digestive Issues,Clinical Notes,mild enterocolitis probiotics and fluids advised digestive issues clinical notes
Ferret needs a flea treatment that is safe and effective for them.,Parasites,Owner Observation,ferret needs a flea treatment that is safe and effective for them parasites owner observation
"Severe, symmetrical epaxial and gluteal muscle atrophy noted.",Mobility Problems,Clinical Notes,severe symmetrical epaxial and gluteal muscle atrophy noted mobility problems clinical notes
Disc herniation; prescribe strict rest and steroids.,Mobility Problems,Clinical Notes,disc herniation prescribe strict rest and steroids mobility problems clinical notes
Food allergy trial initiated with novel protein diet.,Skin Irritations,Clinical Notes,food allergy trial initiated with novel protein diet skin irritations clinical notes
Crusting lesions on flanks; antifungal cream advised.,Skin Irritations,Clinical Notes,crusting lesions on flanks antifungal cream advised skin irritations clinical notes
My dog has intervertebral disc condition (IVDD).,Mobility Problems,Owner Observation,my dog has intervertebral disc condition ivdd mobility problems owner observation
Guinea pig is dragging its hind legs behind it.,Mobility Problems,Owner Observation,guinea pig is dragging its hind legs behind it mobility problems owner observation
Cat is overgrooming areas near painful joints.,Mobility Problems,Owner Observation,cat is overgrooming areas near painful joints mobility problems owner observation
My cat has been hiding and refusing food for a day.,Digestive Issues,Owner Observation,my cat has been hiding and refusing food for a day digestive issues owner observation
My dog ate fatty table scraps and is now vomiting and painful.,Digestive Issues,Owner Observation,my dog ate fatty table scraps and is now vomiting and painful digestive issues owner observation
Educate owner on signs of worsening neurological function.,Mobility Problems,Clinical Notes,educate owner on signs of worsening neurological function mobility problems clinical notes
"My rabbit has fleas, likely from the dog.",Parasites,Owner Observation,my rabbit has fleas likely from the dog parasites owner observation
Cat is suddenly unable to use her back legs and is crying in pain.,Mobility Problems,Owner Observation,cat is suddenly unable to use her back legs and is crying in pain mobility problems owner observation
Post-clipping alopecia noted on flank; advise owner regrowth may be slow or incomplete.,Skin Irritations,Clinical Notes,postclipping alopecia noted on flank advise owner regrowth may be slow or incomplete skin irritations clinical notes
"Differentials include bacterial folliculitis, demodicosis, dermatophytosis.",Skin Irritations,Clinical Notes,differentials include bacterial folliculitis demodicosis dermatophytosis skin irritations clinical notes
My dog yelps when other dogs play near his head.,Ear Infections,Owner Observation,my dog yelps when other dogs play near his head ear infections owner observation
"Consider autoimmune skin conditions (lupus, pemphigus variants) in differential list.",Skin Irritations,Clinical Notes,consider autoimmune skin conditions lupus pemphigus variants in differential list skin irritations clinical notes
Suspect Aelurostrongylus abstrusus (feline lungworm) based on respiratory signs. Baermann fecal analysis confirms L1 larvae.,Parasites,Clinical Notes,suspect aelurostrongylus abstrusus feline lungworm based on respiratory signs baermann fecal analysis confirms l larvae parasites clinical notes
Administer anti-emetic (maropitant injection) and recommend hospitalization for IV fluids and further diagnostics/surgery.,Digestive Issues,Clinical Notes,administer antiemetic maropitant injection and recommend hospitalization for iv fluids and further diagnosticssurgery digestive issues clinical notes
"My dog seems restless and uncomfortable, pacing after meals.",Digestive Issues,Owner Observation,my dog seems restless and uncomfortable pacing after meals digestive issues owner observation
Recommend ear drying solution after swimming or bathing for predisposed dogs.,Ear Infections,Clinical Notes,recommend ear drying solution after swimming or bathing for predisposed dogs ear infections clinical notes
Dog has chronic ear issues that flare up when his skin allergies act up.,Ear Infections,Owner Observation,dog has chronic ear issues that flare up when his skin allergies act up ear infections owner observation
Perform MDR1 genetic testing before using ivermectin/moxidectin in potentially sensitive breeds.,Parasites,Clinical Notes,perform mdr genetic testing before using ivermectinmoxidectin in potentially sensitive breeds parasites clinical notes
Bile acids test recommended to assess liver function.,Digestive Issues,Clinical Notes,bile acids test recommended to assess liver function digestive issues clinical notes
"Cat is hiding, seems lethargic, and occasionally shakes her head.",Ear Infections,Owner Observation,cat is hiding seems lethargic and occasionally shakes her head ear infections owner observation
Flea infestation; start lotilaner chewables.,Parasites,Clinical Notes,flea infestation start lotilaner chewables parasites clinical notes
Chronic dermatitis on neck; consider immunotherapy.,Skin Irritations,Clinical Notes,chronic dermatitis on neck consider immunotherapy skin irritations clinical notes
My puppy's ears require frequent cleaning as a preventative measure.,Ear Infections,Owner Observation,my puppys ears require frequent cleaning as a preventative measure ear infections owner observation
"Orthopedic exam components: observation, palpation of bones/joints/muscles, range of motion, instability tests (drawer, Ortolani).",Mobility Problems,Clinical Notes,orthopedic exam components observation palpation of bonesjointsmuscles range of motion instability tests drawer ortolani mobility problems clinical notes
My dog groans when lying down or changing positions.,Mobility Problems,Owner Observation,my dog groans when lying down or changing positions mobility problems owner observation
Nodular dermatofibrosis; check for renal cystadenocarcinoma.,Skin Irritations,Clinical Notes,nodular dermatofibrosis check for renal cystadenocarcinoma skin irritations clinical notes
"Kitten may have resistant parasites or Tritrichomonas, further testing needed.",Parasites,Owner Observation,kitten may have resistant parasites or tritrichomonas further testing needed parasites owner observation
Recommend strict adherence to hypoallergenic diet trial for minimum 8 weeks.,Ear Infections,Clinical Notes,recommend strict adherence to hypoallergenic diet trial for minimum weeks ear infections clinical notes
